,,,,,[ Item Enhancement Result ]

,,,,,( Average of Max Enhancement )
,,,,Normal,Magic,Hero,Legend,Myth
,,,,5.552,9.252,19.478,40.448,137.672

,,,,,Number of Each Trial: 500

,,,,,( Sum of Trials )
,,,,Normal,Magic,Hero,Legend,Myth
,,,,2776,4626,9739,20224,68836

,,,,,( Average of failbonus )
,,,,Normal,Magic,Hero,Legend,Myth
,,,,0.49711815%,0.97362727%,0.9732005%,0.94373024%,0.42736357%

,,,Trials Log,,,,,,,Failure Log
,Normal,Magic,Hero,Legend,Myth,,,Normal,Magic,Hero,Legend,Myth
50th,6,11,29,41,114,,50th,1,4,19,26,94
51st,7,11,15,35,118,,51st,2,4,5,20,98
52nd,7,7,19,38,112,,52nd,2,0,9,23,92
53rd,6,11,20,44,116,,53rd,1,4,10,29,96
54th,5,8,24,35,169,,54th,0,1,14,20,149
55th,5,10,27,48,107,,55th,0,3,17,33,87
56th,6,9,16,42,144,,56th,1,2,6,27,124
57th,5,8,21,41,116,,57th,0,1,11,26,96
58th,5,9,10,41,146,,58th,0,2,0,26,126
59th,5,11,23,56,166,,59th,0,4,13,41,146
60th,5,9,21,52,144,,60th,0,2,11,37,124
61st,5,14,24,31,119,,61st,0,7,14,16,99
62nd,6,10,15,29,161,,62nd,1,3,5,14,141
63rd,6,8,21,35,166,,63rd,1,1,11,20,146
64th,6,9,16,50,95,,64th,1,2,6,35,75
65th,6,10,14,51,139,,65th,1,3,4,36,119
66th,5,8,22,45,117,,66th,0,1,12,30,97
67th,5,10,17,33,132,,67th,0,3,7,18,112
68th,5,8,19,36,126,,68th,0,1,9,21,106
69th,5,10,15,28,152,,69th,0,3,5,13,132
70th,7,9,27,38,169,,70th,2,2,17,23,149
71st,5,7,14,38,120,,71st,0,0,4,23,100
72nd,5,10,12,45,150,,72nd,0,3,2,30,130
73rd,7,9,19,57,158,,73rd,2,2,9,42,138
74th,7,10,22,38,143,,74th,2,3,12,23,123
75th,6,7,18,37,102,,75th,1,0,8,22,82
76th,7,11,22,24,146,,76th,2,4,12,9,126
77th,6,9,15,37,162,,77th,1,2,5,22,142
78th,5,11,17,35,161,,78th,0,4,7,20,141
79th,5,11,17,45,170,,79th,0,4,7,30,150
80th,5,7,17,67,101,,80th,0,0,7,52,81
81st,5,11,24,41,153,,81st,0,4,14,26,133
82nd,5,15,35,37,110,,82nd,0,8,25,22,90
83rd,5,10,18,57,162,,83rd,0,3,8,42,142
84th,5,8,16,54,128,,84th,0,1,6,39,108
85th,5,7,13,34,139,,85th,0,0,3,19,119
86th,5,9,22,38,124,,86th,0,2,12,23,104
87th,6,12,16,29,139,,87th,1,5,6,14,119
88th,6,7,20,45,145,,88th,1,0,10,30,125
89th,5,9,17,42,134,,89th,0,2,7,27,114
90th,5,8,16,26,155,,90th,0,1,6,11,135
91st,5,10,24,36,165,,91st,0,3,14,21,145
92nd,5,11,14,34,126,,92nd,0,4,4,19,106
93rd,5,8,22,44,135,,93rd,0,1,12,29,115
94th,8,10,14,55,137,,94th,3,3,4,40,117
95th,5,8,19,33,177,,95th,0,1,9,18,157
96th,5,10,17,47,158,,96th,0,3,7,32,138
97th,5,8,20,48,129,,97th,0,1,10,33,109
98th,5,10,20,47,114,,98th,0,3,10,32,94
99th,5,11,16,45,126,,99th,0,4,6,30,106
100th,5,10,18,28,120,,100th,0,3,8,13,100
101st,6,9,18,67,175,,101st,1,2,8,52,155
102nd,5,10,23,39,120,,102nd,0,3,13,24,100
103rd,5,10,14,46,136,,103rd,0,3,4,31,116
104th,5,7,18,43,140,,104th,0,0,8,28,120
105th,7,10,23,39,124,,105th,2,3,13,24,104
106th,5,11,31,47,134,,106th,0,4,21,32,114
107th,5,9,23,35,89,,107th,0,2,13,20,69
108th,6,9,13,35,146,,108th,1,2,3,20,126
109th,6,9,29,38,119,,109th,1,2,19,23,99
110th,6,9,15,51,131,,110th,1,2,5,36,111
111st,5,11,16,33,97,,111st,0,4,6,18,77
112nd,5,11,20,46,122,,112nd,0,4,10,31,102
113rd,5,9,18,30,161,,113rd,0,2,8,15,141
114th,5,7,22,40,129,,114th,0,0,12,25,109
115th,5,7,11,57,144,,115th,0,0,1,42,124
116th,6,11,33,30,133,,116th,1,4,23,15,113
117th,5,10,19,47,132,,117th,0,3,9,32,112
118th,6,13,16,37,145,,118th,1,6,6,22,125
119th,6,7,19,42,111,,119th,1,0,9,27,91
120th,7,8,13,33,147,,120th,2,1,3,18,127
121st,5,8,21,40,110,,121st,0,1,11,25,90
122nd,6,11,20,35,134,,122nd,1,4,10,20,114
123rd,5,13,19,37,123,,123rd,0,6,9,22,103
124th,5,13,20,32,152,,124th,0,6,10,17,132
125th,7,9,19,48,140,,125th,2,2,9,33,120
126th,5,11,11,31,128,,126th,0,4,1,16,108
127th,5,9,23,22,119,,127th,0,2,13,7,99
128th,5,9,23,42,85,,128th,0,2,13,27,65
129th,6,7,19,38,136,,129th,1,0,9,23,116
130th,5,8,23,40,157,,130th,0,1,13,25,137
131st,5,11,14,46,145,,131st,0,4,4,31,125
132nd,5,9,24,36,196,,132nd,0,2,14,21,176
133rd,6,12,30,41,120,,133rd,1,5,20,26,100
134th,5,8,22,39,128,,134th,0,1,12,24,108
135th,6,7,24,41,91,,135th,1,0,14,26,71
136th,6,13,15,50,137,,136th,1,6,5,35,117
137th,5,7,13,47,107,,137th,0,0,3,32,87
138th,5,12,18,40,110,,138th,0,5,8,25,90
139th,6,9,16,52,149,,139th,1,2,6,37,129
140th,5,8,17,39,164,,140th,0,1,7,24,144
141st,5,9,24,38,128,,141st,0,2,14,23,108
142nd,7,10,29,44,137,,142nd,2,3,19,29,117
143rd,5,8,15,29,132,,143rd,0,1,5,14,112
144th,5,10,20,27,147,,144th,0,3,10,12,127
145th,5,14,19,29,140,,145th,0,7,9,14,120
146th,5,8,17,38,138,,146th,0,1,7,23,118
147th,6,10,17,35,116,,147th,1,3,7,20,96
148th,5,9,16,48,174,,148th,0,2,6,33,154
149th,7,7,22,50,121,,149th,2,0,12,35,101
150th,5,11,14,33,115,,150th,0,4,4,18,95
151st,6,9,22,43,120,,151st,1,2,12,28,100
152nd,5,10,23,42,141,,152nd,0,3,13,27,121
153rd,8,8,24,59,113,,153rd,3,1,14,44,93
154th,5,11,18,51,138,,154th,0,4,8,36,118
155th,5,8,16,40,100,,155th,0,1,6,25,80
156th,5,10,27,41,149,,156th,0,3,17,26,129
157th,6,10,33,31,118,,157th,1,3,23,16,98
158th,5,9,17,32,178,,158th,0,2,7,17,158
159th,5,9,22,33,123,,159th,0,2,12,18,103
160th,5,10,23,47,107,,160th,0,3,13,32,87
161st,5,8,16,37,142,,161st,0,1,6,22,122
162nd,5,9,21,36,141,,162nd,0,2,11,21,121
163rd,5,9,18,42,123,,163rd,0,2,8,27,103
164th,7,10,16,39,164,,164th,2,3,6,24,144
165th,5,10,16,28,115,,165th,0,3,6,13,95
166th,5,8,18,28,128,,166th,0,1,8,13,108
167th,5,12,17,38,153,,167th,0,5,7,23,133
168th,7,12,16,32,129,,168th,2,5,6,17,109
169th,5,7,20,45,126,,169th,0,0,10,30,106
170th,6,8,24,39,136,,170th,1,1,14,24,116
171st,6,8,25,42,158,,171st,1,1,15,27,138
172nd,5,9,21,37,89,,172nd,0,2,11,22,69
173rd,6,9,18,45,137,,173rd,1,2,8,30,117
174th,5,9,18,27,102,,174th,0,2,8,12,82
175th,5,8,14,36,163,,175th,0,1,4,21,143
176th,5,8,18,53,147,,176th,0,1,8,38,127
177th,5,9,25,37,120,,177th,0,2,15,22,100
178th,5,14,24,34,191,,178th,0,7,14,19,171
179th,6,9,15,30,143,,179th,1,2,5,15,123
180th,7,11,14,52,112,,180th,2,4,4,37,92
181st,6,8,17,33,117,,181st,1,1,7,18,97
182nd,7,8,24,32,153,,182nd,2,1,14,17,133
183rd,5,13,18,37,117,,183rd,0,6,8,22,97
184th,5,12,20,45,166,,184th,0,5,10,30,146
185th,5,9,15,55,168,,185th,0,2,5,40,148
186th,6,13,24,40,158,,186th,1,6,14,25,138
187th,5,9,16,29,114,,187th,0,2,6,14,94
188th,5,11,27,31,123,,188th,0,4,17,16,103
189th,6,7,27,41,95,,189th,1,0,17,26,75
190th,5,7,15,38,127,,190th,0,0,5,23,107
191st,5,9,18,36,108,,191st,0,2,8,21,88
192nd,5,8,28,50,139,,192nd,0,1,18,35,119
193rd,5,8,15,39,150,,193rd,0,1,5,24,130
194th,5,7,24,34,153,,194th,0,0,14,19,133
195th,5,9,18,40,184,,195th,0,2,8,25,164
196th,5,11,21,40,121,,196th,0,4,11,25,101
197th,6,9,24,29,94,,197th,1,2,14,14,74
198th,5,9,19,46,117,,198th,0,2,9,31,97
199th,5,12,21,35,154,,199th,0,5,11,20,134
200th,7,8,21,33,175,,200th,2,1,11,18,155
201st,5,9,24,36,134,,201st,0,2,14,21,114
202nd,5,11,16,46,139,,202nd,0,4,6,31,119
203rd,5,10,15,41,124,,203rd,0,3,5,26,104
204th,5,9,23,37,149,,204th,0,2,13,22,129
205th,5,9,30,40,148,,205th,0,2,20,25,128
206th,6,7,25,34,160,,206th,1,0,15,19,140
207th,6,7,14,48,176,,207th,1,0,4,33,156
208th,6,11,14,42,148,,208th,1,4,4,27,128
209th,5,7,17,54,170,,209th,0,0,7,39,150
210th,5,8,19,40,161,,210th,0,1,9,25,141
211st,5,8,20,33,127,,211st,0,1,10,18,107
212nd,5,9,21,36,131,,212nd,0,2,11,21,111
213rd,6,11,25,39,153,,213rd,1,4,15,24,133
214th,6,10,22,42,166,,214th,1,3,12,27,146
215th,5,11,17,23,98,,215th,0,4,7,8,78
216th,7,7,14,51,133,,216th,2,0,4,36,113
217th,5,11,22,39,124,,217th,0,4,12,24,104
218th,5,8,15,36,151,,218th,0,1,5,21,131
219th,5,10,14,32,143,,219th,0,3,4,17,123
220th,5,8,14,54,171,,220th,0,1,4,39,151
221st,6,9,25,46,154,,221st,1,2,15,31,134
222nd,6,9,20,51,113,,222nd,1,2,10,36,93
223rd,6,7,19,53,140,,223rd,1,0,9,38,120
224th,5,8,15,32,114,,224th,0,1,5,17,94
225th,7,8,16,44,155,,225th,2,1,6,29,135
226th,5,8,22,39,151,,226th,0,1,12,24,131
227th,6,11,21,34,160,,227th,1,4,11,19,140
228th,6,8,13,45,103,,228th,1,1,3,30,83
229th,6,11,21,41,145,,229th,1,4,11,26,125
230th,5,11,19,37,172,,230th,0,4,9,22,152
231st,6,9,19,49,171,,231st,1,2,9,34,151
232nd,6,7,20,40,145,,232nd,1,0,10,25,125
233rd,5,10,17,39,175,,233rd,0,3,7,24,155
234th,5,9,13,34,123,,234th,0,2,3,19,103
235th,6,7,24,40,116,,235th,1,0,14,25,96
236th,5,14,18,42,178,,236th,0,7,8,27,158
237th,6,9,20,36,123,,237th,1,2,10,21,103
238th,5,10,21,36,126,,238th,0,3,11,21,106
239th,5,11,21,47,145,,239th,0,4,11,32,125
240th,5,9,23,51,176,,240th,0,2,13,36,156
241st,5,10,21,41,160,,241st,0,3,11,26,140
242nd,7,12,16,36,119,,242nd,2,5,6,21,99
243rd,5,7,19,41,209,,243rd,0,0,9,26,189
244th,5,9,25,32,139,,244th,0,2,15,17,119
245th,7,11,21,41,154,,245th,2,4,11,26,134
246th,5,12,26,40,183,,246th,0,5,16,25,163
247th,7,8,21,47,128,,247th,2,1,11,32,108
248th,5,9,19,43,192,,248th,0,2,9,28,172
249th,5,7,21,38,111,,249th,0,0,11,23,91
250th,6,11,16,37,115,,250th,1,4,6,22,95
251st,5,8,14,42,110,,251st,0,1,4,27,90
252nd,6,9,24,37,144,,252nd,1,2,14,22,124
253rd,5,9,17,25,175,,253rd,0,2,7,10,155
254th,5,11,20,42,143,,254th,0,4,10,27,123
255th,5,8,22,31,168,,255th,0,1,12,16,148
256th,5,9,20,42,160,,256th,0,2,10,27,140
257th,6,10,17,42,101,,257th,1,3,7,27,81
258th,5,9,28,32,107,,258th,0,2,18,17,87
259th,6,11,20,26,146,,259th,1,4,10,11,126
260th,5,9,15,54,180,,260th,0,2,5,39,160
261st,5,8,22,34,134,,261st,0,1,12,19,114
262nd,5,7,13,47,104,,262nd,0,0,3,32,84
263rd,5,7,23,47,126,,263rd,0,0,13,32,106
264th,6,8,18,39,135,,264th,1,1,8,24,115
265th,5,7,23,39,87,,265th,0,0,13,24,67
266th,5,9,22,33,179,,266th,0,2,12,18,159
267th,5,7,19,46,191,,267th,0,0,9,31,171
268th,5,10,20,39,90,,268th,0,3,10,24,70
269th,6,10,20,42,142,,269th,1,3,10,27,122
270th,5,8,27,43,163,,270th,0,1,17,28,143
271st,5,8,21,55,137,,271st,0,1,11,40,117
272nd,5,9,16,54,116,,272nd,0,2,6,39,96
273rd,5,9,20,33,149,,273rd,0,2,10,18,129
274th,7,12,19,31,176,,274th,2,5,9,16,156
275th,6,9,22,32,141,,275th,1,2,12,17,121
276th,5,11,14,38,126,,276th,0,4,4,23,106
277th,6,11,16,42,173,,277th,1,4,6,27,153
278th,5,7,30,35,147,,278th,0,0,20,20,127
279th,8,7,10,41,146,,279th,3,0,0,26,126
280th,5,10,15,35,136,,280th,0,3,5,20,116
281st,5,11,17,54,134,,281st,0,4,7,39,114
282nd,5,9,25,47,175,,282nd,0,2,15,32,155
283rd,5,8,21,49,141,,283rd,0,1,11,34,121
284th,5,8,19,45,108,,284th,0,1,9,30,88
285th,5,11,22,32,133,,285th,0,4,12,17,113
286th,6,8,16,32,144,,286th,1,1,6,17,124
287th,7,10,18,26,120,,287th,2,3,8,11,100
288th,6,11,23,36,160,,288th,1,4,13,21,140
289th,5,7,18,42,116,,289th,0,0,8,27,96
290th,5,7,16,43,141,,290th,0,0,6,28,121
291st,5,7,24,40,151,,291st,0,0,14,25,131
292nd,5,12,16,36,145,,292nd,0,5,6,21,125
293rd,7,7,23,38,143,,293rd,2,0,13,23,123
294th,6,8,24,39,108,,294th,1,1,14,24,88
295th,7,11,15,36,132,,295th,2,4,5,21,112
296th,5,8,20,39,154,,296th,0,1,10,24,134
297th,5,10,18,34,159,,297th,0,3,8,19,139
298th,5,12,20,45,134,,298th,0,5,10,30,114
299th,5,9,15,39,175,,299th,0,2,5,24,155
300th,5,7,13,59,137,,300th,0,0,3,44,117
301st,5,9,20,47,97,,301st,0,2,10,32,77
302nd,5,11,15,35,128,,302nd,0,4,5,20,108
303rd,5,8,20,29,133,,303rd,0,1,10,14,113
304th,5,8,22,41,168,,304th,0,1,12,26,148
305th,5,8,17,47,111,,305th,0,1,7,32,91
306th,5,9,26,37,106,,306th,0,2,16,22,86
307th,9,9,28,34,147,,307th,4,2,18,19,127
308th,5,11,17,40,130,,308th,0,4,7,25,110
309th,5,9,21,43,82,,309th,0,2,11,28,62
310th,7,9,16,44,130,,310th,2,2,6,29,110
311st,5,11,20,38,147,,311st,0,4,10,23,127
312nd,7,8,26,43,161,,312nd,2,1,16,28,141
313rd,5,9,16,36,177,,313rd,0,2,6,21,157
314th,5,8,20,48,135,,314th,0,1,10,33,115
315th,6,11,22,48,143,,315th,1,4,12,33,123
316th,7,10,14,36,125,,316th,2,3,4,21,105
317th,5,8,18,38,160,,317th,0,1,8,23,140
318th,6,8,18,59,161,,318th,1,1,8,44,141
319th,5,9,20,32,158,,319th,0,2,10,17,138
320th,5,13,21,44,122,,320th,0,6,11,29,102
321st,6,8,30,42,143,,321st,1,1,20,27,123
322nd,6,11,24,42,166,,322nd,1,4,14,27,146
323rd,6,9,23,42,107,,323rd,1,2,13,27,87
324th,5,9,17,44,100,,324th,0,2,7,29,80
325th,5,10,15,32,94,,325th,0,3,5,17,74
326th,6,8,17,35,157,,326th,1,1,7,20,137
327th,5,8,18,41,115,,327th,0,1,8,26,95
328th,6,10,13,44,154,,328th,1,3,3,29,134
329th,6,7,20,44,146,,329th,1,0,10,29,126
330th,7,8,13,27,119,,330th,2,1,3,12,99
331st,5,8,13,42,174,,331st,0,1,3,27,154
332nd,6,8,19,48,112,,332nd,1,1,9,33,92
333rd,6,9,13,42,106,,333rd,1,2,3,27,86
334th,5,10,15,40,100,,334th,0,3,5,25,80
335th,5,11,19,37,142,,335th,0,4,9,22,122
336th,5,10,20,41,132,,336th,0,3,10,26,112
337th,6,11,13,44,136,,337th,1,4,3,29,116
338th,5,8,15,29,139,,338th,0,1,5,14,119
339th,6,9,25,61,133,,339th,1,2,15,46,113
340th,5,7,18,47,149,,340th,0,0,8,32,129
341st,5,9,18,44,103,,341st,0,2,8,29,83
342nd,5,10,18,60,125,,342nd,0,3,8,45,105
343rd,8,11,19,49,136,,343rd,3,4,9,34,116
344th,5,10,18,49,118,,344th,0,3,8,34,98
345th,6,9,26,36,81,,345th,1,2,16,21,61
346th,6,8,12,42,125,,346th,1,1,2,27,105
347th,5,8,25,35,112,,347th,0,1,15,20,92
348th,6,11,17,48,139,,348th,1,4,7,33,119
349th,5,11,20,50,152,,349th,0,4,10,35,132
350th,5,12,18,35,131,,350th,0,5,8,20,111
351st,6,11,14,36,111,,351st,1,4,4,21,91
352nd,5,7,22,38,141,,352nd,0,0,12,23,121
353rd,5,10,20,43,187,,353rd,0,3,10,28,167
354th,5,11,19,35,128,,354th,0,4,9,20,108
355th,5,8,24,56,129,,355th,0,1,14,41,109
356th,5,11,20,44,115,,356th,0,4,10,29,95
357th,6,8,17,29,108,,357th,1,1,7,14,88
358th,8,9,14,40,146,,358th,3,2,4,25,126
359th,6,7,19,39,135,,359th,1,0,9,24,115
360th,5,8,20,47,130,,360th,0,1,10,32,110
361st,5,7,21,37,112,,361st,0,0,11,22,92
362nd,6,8,12,41,123,,362nd,1,1,2,26,103
363rd,6,11,28,53,110,,363rd,1,4,18,38,90
364th,5,9,29,51,97,,364th,0,2,19,36,77
365th,5,8,17,48,174,,365th,0,1,7,33,154
366th,5,7,15,48,187,,366th,0,0,5,33,167
367th,6,9,15,38,118,,367th,1,2,5,23,98
368th,5,8,20,30,133,,368th,0,1,10,15,113
369th,6,11,21,54,130,,369th,1,4,11,39,110
370th,5,8,21,31,206,,370th,0,1,11,16,186
371st,5,7,18,46,104,,371st,0,0,8,31,84
372nd,5,8,16,36,120,,372nd,0,1,6,21,100
373rd,6,7,20,39,203,,373rd,1,0,10,24,183
374th,5,8,16,44,177,,374th,0,1,6,29,157
375th,7,8,19,35,170,,375th,2,1,9,20,150
376th,7,10,13,35,112,,376th,2,3,3,20,92
377th,6,13,31,40,116,,377th,1,6,21,25,96
378th,5,9,17,36,134,,378th,0,2,7,21,114
379th,6,8,20,53,133,,379th,1,1,10,38,113
380th,6,11,18,32,141,,380th,1,4,8,17,121
381st,5,10,23,42,158,,381st,0,3,13,27,138
382nd,6,9,21,41,138,,382nd,1,2,11,26,118
383rd,5,13,16,32,111,,383rd,0,6,6,17,91
384th,6,9,17,36,146,,384th,1,2,7,21,126
385th,6,8,21,40,106,,385th,1,1,11,25,86
386th,6,11,29,37,177,,386th,1,4,19,22,157
387th,5,9,22,27,157,,387th,0,2,12,12,137
388th,5,12,21,31,151,,388th,0,5,11,16,131
389th,5,9,13,40,107,,389th,0,2,3,25,87
390th,5,10,15,39,127,,390th,0,3,5,24,107
391st,5,12,23,40,157,,391st,0,5,13,25,137
392nd,5,11,22,44,125,,392nd,0,4,12,29,105
393rd,5,8,26,33,136,,393rd,0,1,16,18,116
394th,8,7,14,33,109,,394th,3,0,4,18,89
395th,5,8,21,44,130,,395th,0,1,11,29,110
396th,5,10,13,38,156,,396th,0,3,3,23,136
397th,6,8,24,63,155,,397th,1,1,14,48,135
398th,5,9,16,51,150,,398th,0,2,6,36,130
399th,6,8,20,46,149,,399th,1,1,10,31,129
400th,5,8,21,39,148,,400th,0,1,11,24,128
401st,5,10,17,44,144,,401st,0,3,7,29,124
402nd,5,9,17,40,107,,402nd,0,2,7,25,87
403rd,7,11,14,32,152,,403rd,2,4,4,17,132
404th,5,9,21,53,122,,404th,0,2,11,38,102
405th,9,13,18,41,99,,405th,4,6,8,26,79
406th,7,9,22,36,113,,406th,2,2,12,21,93
407th,6,8,28,48,153,,407th,1,1,18,33,133
408th,5,9,19,58,132,,408th,0,2,9,43,112
409th,5,7,23,38,120,,409th,0,0,13,23,100
410th,5,8,24,32,151,,410th,0,1,14,17,131
411st,5,10,17,64,143,,411st,0,3,7,49,123
412nd,6,13,20,41,167,,412nd,1,6,10,26,147
413rd,6,10,18,53,187,,413rd,1,3,8,38,167
414th,6,10,22,43,94,,414th,1,3,12,28,74
415th,5,8,21,44,117,,415th,0,1,11,29,97
416th,5,9,20,50,115,,416th,0,2,10,35,95
417th,5,8,21,39,123,,417th,0,1,11,24,103
418th,6,10,18,33,155,,418th,1,3,8,18,135
419th,5,9,30,46,124,,419th,0,2,20,31,104
420th,6,8,20,47,126,,420th,1,1,10,32,106
421st,5,8,23,47,161,,421st,0,1,13,32,141
422nd,5,8,19,34,137,,422nd,0,1,9,19,117
423rd,6,9,22,38,187,,423rd,1,2,12,23,167
424th,8,8,22,38,91,,424th,3,1,12,23,71
425th,5,8,23,46,185,,425th,0,1,13,31,165
426th,6,9,19,41,128,,426th,1,2,9,26,108
427th,5,10,22,40,128,,427th,0,3,12,25,108
428th,7,11,22,39,122,,428th,2,4,12,24,102
429th,6,9,23,51,117,,429th,1,2,13,36,97
430th,7,12,16,44,88,,430th,2,5,6,29,68
431st,6,10,27,28,160,,431st,1,3,17,13,140
432nd,5,9,25,32,163,,432nd,0,2,15,17,143
433rd,7,7,18,39,129,,433rd,2,0,8,24,109
434th,5,9,18,58,158,,434th,0,2,8,43,138
435th,5,15,19,39,134,,435th,0,8,9,24,114
436th,6,13,18,44,151,,436th,1,6,8,29,131
437th,6,8,21,44,175,,437th,1,1,11,29,155
438th,6,11,19,28,144,,438th,1,4,9,13,124
439th,5,10,26,51,147,,439th,0,3,16,36,127
440th,6,9,16,28,117,,440th,1,2,6,13,97
441st,6,9,22,40,162,,441st,1,2,12,25,142
442nd,5,8,20,37,201,,442nd,0,1,10,22,181
443rd,7,9,13,54,125,,443rd,2,2,3,39,105
444th,7,8,29,38,111,,444th,2,1,19,23,91
445th,5,13,26,35,151,,445th,0,6,16,20,131
446th,6,8,11,39,117,,446th,1,1,1,24,97
447th,8,10,30,36,88,,447th,3,3,20,21,68
448th,6,9,16,41,167,,448th,1,2,6,26,147
449th,5,9,17,38,93,,449th,0,2,7,23,73
450th,5,9,21,50,136,,450th,0,2,11,35,116
451st,5,8,19,33,143,,451st,0,1,9,18,123
452nd,5,12,15,46,121,,452nd,0,5,5,31,101
453rd,5,8,19,41,100,,453rd,0,1,9,26,80
454th,6,11,22,58,174,,454th,1,4,12,43,154
455th,7,9,25,51,103,,455th,2,2,15,36,83
456th,5,8,31,27,117,,456th,0,1,21,12,97
457th,5,10,20,37,169,,457th,0,3,10,22,149
458th,5,11,22,42,156,,458th,0,4,12,27,136
459th,5,8,19,47,130,,459th,0,1,9,32,110
460th,6,9,18,42,118,,460th,1,2,8,27,98
461st,5,11,15,42,195,,461st,0,4,5,27,175
462nd,5,11,15,27,140,,462nd,0,4,5,12,120
463rd,5,9,21,36,121,,463rd,0,2,11,21,101
464th,5,7,20,32,113,,464th,0,0,10,17,93
465th,5,8,20,30,131,,465th,0,1,10,15,111
466th,6,9,15,24,160,,466th,1,2,5,9,140
467th,5,8,15,37,134,,467th,0,1,5,22,114
468th,6,10,20,33,170,,468th,1,3,10,18,150
469th,6,7,23,30,121,,469th,1,0,13,15,101
470th,6,12,17,38,139,,470th,1,5,7,23,119
471st,7,8,18,41,102,,471st,2,1,8,26,82
472nd,6,7,16,35,178,,472nd,1,0,6,20,158
473rd,6,8,17,33,167,,473rd,1,1,7,18,147
474th,5,10,14,43,168,,474th,0,3,4,28,148
475th,6,8,19,42,105,,475th,1,1,9,27,85
476th,6,11,14,33,134,,476th,1,4,4,18,114
477th,7,9,12,42,119,,477th,2,2,2,27,99
478th,5,8,17,46,167,,478th,0,1,7,31,147
479th,6,8,23,37,138,,479th,1,1,13,22,118
480th,5,10,20,36,118,,480th,0,3,10,21,98
481st,7,9,19,48,122,,481st,2,2,9,33,102
482nd,5,12,16,39,143,,482nd,0,5,6,24,123
483rd,5,10,25,26,133,,483rd,0,3,15,11,113
484th,5,13,18,46,154,,484th,0,6,8,31,134
485th,5,9,16,55,136,,485th,0,2,6,40,116
486th,5,10,16,27,172,,486th,0,3,6,12,152
487th,5,8,17,61,162,,487th,0,1,7,46,142
488th,5,7,23,38,116,,488th,0,0,13,23,96
489th,6,7,14,60,174,,489th,1,0,4,45,154
